"Title","Description","Priority","Labels","Status","Beads ID"
"Fix claims query error for single item","Error in claims query when fetching for single item. Query uses 'in (?)' with single value instead of proper parameterization. Likely in shared-items API or claims lookup. Error: Failed query with sqlite IN clause for single itemId.","High","Bug","Done","giftlist-0c4"
"Notifications & Email","Enable in-app and email notifications for invitation and sharing events. Includes notification storage, Resend email integration, and Cloudflare Queues.","Medium","Feature","Done","giftlist-0mj"
"Database: Notifications Schema","Add notifications table (userId, type, title, body, data JSON, read boolean). Create migration and types.","Medium","Improvement","Done","giftlist-0mj.1"
"Resend Setup","Configure RESEND_API_KEY, create src/lib/email.ts client helper, and invitation email template.","Medium","Improvement","Done","giftlist-0mj.2"
"API: Notifications CRUD","Implement GET /api/notifications, GET unread-count, POST mark-read, POST mark-all-read, DELETE.","Medium","Improvement","Done","giftlist-0mj.3"
"Notification Service","Create src/lib/notifications.ts with createNotification() and sendInvitationEmail() helpers.","Medium","Improvement","Done","giftlist-0mj.4"
"Cloudflare Queue Setup","Add queue binding to wrangler.toml, create queue consumer for async email processing.","Low","Improvement","Backlog","giftlist-0mj.5"
"UI: Notifications Dropdown","NotificationBell with unread badge, NotificationsDropdown with list, mark-as-read on click, mark-all-read action.","Medium","Improvement","Done","giftlist-0mj.6"
"Integration: Invitation Notifications","Trigger notifications on invitation created, accepted, member joined/left. Send email for invitations.","Medium","Improvement","Done","giftlist-0mj.7"
"Apply migrations to production D1","When deploying to production, run: wrangler d1 migrations apply giftlist-db --remote  This applies the groups/notifications schema migrations to the remote D1 database.","High","Improvement","Done","giftlist-1tm"
"Apply database migrations","D1_ERROR: no such table: notifications. Need to run drizzle-kit migrations against local D1 database.","Urgent","Bug","Done","giftlist-1wt"
"User Sync Webhook","Sync Clerk users to D1 on auth events.  ## Steps - Install svix for webhook signature verification - Create /api/webhooks/clerk endpoint using auth adapter - Handle events: user.created, user.updated, user.deleted - Insert/update/delete from users table - Add CLERK_WEBHOOK_SECRET to environment  ## Files - src/pages/api/webhooks/clerk.ts (create - uses auth adapter)  ## Clerk Dashboard Config (do after deploy) - Endpoint: https://<domain>/api/webhooks/clerk - Events: user.created, user.updated, ","High","Improvement","Done","giftlist-23f"
"QuickAdd: fallback to ItemFormDialog on extraction failure","When extract-metadata fails (blocked sites like Amazon, timeouts, etc.), still open ItemFormDialog with URL pre-filled. User can manually enter title/price/image. Even on success, open ItemFormDialog with extracted data so user can edit before saving. Flow: QuickAdd URL input → try extract → open ItemFormDialog with {url, ...extractedData} or just {url} on failure.","Medium","Improvement","Done","giftlist-3bk"
"Personal Wishlist MVP","Create a working vertical slice where users can authenticate and manage their personal wishlist. No sharing, groups, or claims - just the foundation.  ## Scope - User authentication via Clerk (with adapter pattern for future swap) - Database with users and items tables (Drizzle + D1) - CRUD operations for wishlist items - Basic authenticated UI layout - Route: /wishlist  ## Out of Scope (Future Epics) - Groups and invitations - Tagging items with recipients   - Claiming items - Notifications - I","High","Feature","Done","giftlist-4bn"
"Display Images in ItemCard","Show uploaded images in item cards.  ## Steps - Replace gray placeholder with actual image - Fallback to placeholder when no image - Lazy loading for performance - Aspect ratio handling  ## Files - src/components/ItemCard.tsx (modify)  ## Dependencies - Requires: Integrate Upload with Item Form","Medium","Improvement","Done","giftlist-5bx"
"Database Foundation","Set up Drizzle ORM with Cloudflare D1.  ## Steps - Install: drizzle-orm, drizzle-kit, nanoid - Create D1 database: npx wrangler d1 create giftlist-db - Add D1 binding to wrangler.jsonc - Create src/db/schema.ts with users and items tables - Create drizzle.config.ts for D1 - Create src/lib/db.ts for db connection helper  ## Schema ```typescript // users table id: text().primaryKey()  // nanoid clerkId: text().notNull().unique() email: text().notNull() name: text() avatarUrl: text() createdAt: int","High","Improvement","Done","giftlist-5d3"
"Fix TypeScript error in useInvitations.ts","Fix 'error is of type unknown' TypeScript errors at lines 32 and 43 in src/hooks/useInvitations.ts. Need to properly type the error parameter in catch blocks.","Medium","Bug","Done","giftlist-5j0"
"Create Clerk Application","Set up Clerk project and get credentials.  ## Steps - Go to clerk.com and create new application - Choose authentication methods (email, Google, etc.) - Copy API keys for local development - Note the webhook signing secret for later  ## Output needed - PUBLIC_CLERK_PUBLISHABLE_KEY - CLERK_SECRET_KEY - Webhook endpoint URL pattern  ## Dependencies None - this is the first task","High","Improvement","Done","giftlist-5li"
"Fix 500 error on image upload","Upload fails with 500 error when trying to add image. Debug POST /api/upload endpoint.","High","Bug","Done","giftlist-66m"
"Purchase giftlist.app domain on Cloudflare Registrar","1. Cloudflare Dashboard → Register domains 2. Search for giftlist.app 3. Purchase (at-cost pricing, ~$10-15/year for .app) 4. Enter registrant contact details 5. Complete payment  Domain auto-added as Cloudflare zone. Then connect to Workers via Triggers → Add Custom Domain.","High","Improvement","Done","giftlist-68p"
"Add/Edit Item Dialog","Form for creating and editing items.  ## Steps - Add shadcn components: Dialog, Input, Label, Textarea - Form fields: name (required), url, price, notes - Client-side validation matching API schemas - Submit to API endpoints - Optimistic updates or refetch on success - Loading and error states - Install TanStack Query for data fetching  ## Files - src/components/ui/dialog.tsx (add via shadcn) - src/components/ui/input.tsx (add via shadcn) - src/components/ui/label.tsx (add via shadcn) - src/comp","Medium","Improvement","Done","giftlist-6dc"
"Set up automated deployment on merge to main","","Medium","Improvement","Done","giftlist-6vt"
"Image Upload API","POST /api/upload endpoint for image uploads.  ## Steps - Create upload endpoint accepting multipart/form-data - Validate file type (jpg, png, webp, gif) and size (max 5MB) - Generate unique filename with nanoid - Upload to R2 bucket - Return public URL - Auth required  ## Files - src/pages/api/upload.ts (create) - src/lib/validations/upload.ts (create)  ## Dependencies - Requires: R2 Bucket Setup","Medium","Improvement","Done","giftlist-7mx"
"Internationalization (i18n) - English + Ukrainian","Add multi-language support using Paraglide.js with Astro 5 i18n routing. English as default (no URL prefix), Ukrainian with /uk/ prefix. AI-generated translations initially.","Medium","Feature","Done","giftlist-8qv"
"Set up Paraglide.js and Astro i18n configuration","Install @inlang/paraglide-astro and @inlang/paraglide-js. Create project.inlang/settings.json with en/uk language tags. Update astro.config.mjs with Paraglide integration and i18n routing config (prefixDefaultLocale: false).","High","Improvement","Done","giftlist-8qv.1"
"Migrate SharedPage and SharedItemCard to i18n","Update src/components/SharedPage.tsx and SharedItemCard.tsx. Replace: page title, filter dropdown, empty states (both global and per-group), group selector, claim status text.","Medium","Improvement","Done","giftlist-8qv.10"
"Migrate Header and navigation to i18n","Update src/components/Header.tsx. Replace navigation link text (My Wishlist, Shared With Me, Groups). Add locale prop for language switcher integration. Update mobile menu text.","Medium","Improvement","Done","giftlist-8qv.11"
"Migrate NotificationBell and InvitationsDropdown to i18n","Update src/components/NotificationBell.tsx and InvitationsDropdown.tsx. Replace: dropdown titles, empty states, mark all read button, time ago text, invitation actions (Accept/Decline), expiration text.","Medium","Improvement","Done","giftlist-8qv.12"
"Migrate ClaimButton and PartialClaimDialog to i18n","Update src/components/ClaimButton.tsx and PartialClaimDialog.tsx. Replace: claim/release buttons, claimed by text, partial claim dialog content, amount input labels.","Medium","Improvement","Done","giftlist-8qv.13"
"Internationalize Zod validation messages","Create src/i18n/zod-messages.ts with message key resolution. Update src/lib/validations/*.ts (item, group, invitation, claim) to use message keys instead of hardcoded strings. Update form error displays to resolve keys at render time.","Medium","Improvement","Done","giftlist-8qv.14"
"Create LanguageSwitcher component","Create src/components/LanguageSwitcher.tsx using shadcn Select. Display current language with flag emoji. Generate locale-aware URLs on switch (getLocalizedPath helper). Use window.location.href for full page navigation to ensure SSR with new locale.","Medium","Improvement","Done","giftlist-8qv.15"
"Generate Ukrainian translations","Create messages/uk.json with AI-generated Ukrainian translations for all ~150-200 strings. Review for accuracy, especially: UI terminology, date/time phrases, formal vs informal tone, proper noun handling.","Low","Improvement","Done","giftlist-8qv.16"
"Internationalize email templates","Update src/lib/email.ts to accept locale parameter. Add email-related messages to translation files. Generate localized HTML email content for invitation emails. Test email rendering in both locales.","Low","Improvement","Done","giftlist-8qv.17"
